sitename,address,city,zipcode,county,latitude,longitude,siteid,businesstype,horizontalreferencedatum,horizontalcollectionmethod,horizontalaccuracy,referencepoint,sourcemapscale,riskcondition,contaminants,hasbeaornom,lastupdated,projectmanaager,X,Y,L1
Austin Tube Co,4477 & 5629 South Forman Road,Baldwiin,49304,Lake,43.906384,-85.804212,43000001,Manufacturing,North American Datum of 1983,The geographic coordinate determination method based on interpolation-map,15,Center of a facility or station,24000,Risks Present and Require Action in Long-term,Chlorinated Volatile and Semi Volatile Organic Compounds,YES,2025-01-17T00:00:00Z,"Wheeler, Brandi",515568.53720000014,372796.7981000021,1
Lake Co Rd Comm Baldwin,1180 N Michigan Ave,Baldwin,49304,Lake,43.900589,-85.849266,43000003,NA,North American Datum of 1983,The geographic coordinate determination method based on interpolation-map,15,Center of a facility or station,24000,Inadequate Data to Assign Risk,Petroleum Volatile and Semi Volatile Organic Compounds,NO,2025-12-08T00:00:00Z,"Wojciechowski, Kevin",511951.85440000147,372145.15520000085,2
Wash King Laundry,9247 South M-37,Baldwin,49304,Lake,43.85352457,-85.85189689,43000007,Dry Cleaner,North American Datum of 1983,The geographic coordinate determination method based on interpolation-photo.,20,Center of a facility or station,24000,Risks Present and Require Action in Short-term,"Chlorinated Volatile and Semi Volatile Organic Compounds, Per- and Polyfluoroalkyl Substances",NO,2026-01-14T00:00:00Z,"Reimann, Mark",511750.5461000018,366917.36560000107,3
USFS - Baldwin,650 North Michigan Avenue,BALDWIN,49304,Lake,43.89369257,-85.84938198,43000038,NA,North American Datum of 1983,The geographic coordinate determination method based on interpolation-photo.,20,Center of a facility or station,24000,Risks Present and Require Action in Short-term,Elements/Metals/Other Inorganics,NO,2025-12-30T00:00:00Z,"Wojciechowski, Kevin",511944.0237000026,371379.1582000032,4
Link Cottage,21 West Pere Marquette Lane,Baldwiin,49304,Lake,43.83459613,-85.84377851,43000039,NA,North American Datum of 1983,The geographic coordinate determination method based on interpolation-photo.,20,Center of a facility or station,24000,Inadequate Data to Assign Risk,Petroleum Volatile and Semi Volatile Organic Compounds,NO,2025-12-08T00:00:00Z,"Wojciechowski, Kevin",512407.27810000256,364816.2991000004,5
"CSX Train Derailment, Xmas 99",T17N R13W Sec5,Baldwin,49304,Lake,43.897364,-85.885004,43000049,NA,North American Datum of 1983,The geographic coordinate determination method based on interpolation-map,15,Center of a facility or station,24000,Risks Controlled-Interim,Petroleum Volatile and Semi Volatile Organic Compounds,NO,2025-12-18T00:00:00Z,"Wojciechowski, Kevin",509082.26520000026,371782.0171000026,6
1368 East Harrison ,1368 East Harrison,Idlewild,49642,Lake,43.88314519,-85.77528917,43000054,Residential Fuel,North American Datum of 1983,The geographic coordinate determination method based on interpolation-photo.,20,Center of a facility or station,24000,Risks Controlled-Interim,"Carcinogenic PAHs, Elements/Metals/Other Inorganics, Mercury, Petroleum Volatile and Semi Volatile Organic Compounds",YES,2025-12-01T00:00:00Z,"Wojciechowski, Kevin",517898.4119000025,370221.8885000013,7
"1850 West 32nd Street, Lake County",1850 West 32nd Street,Baldwin,49304,Lake,43.93195423,-85.83679675,43000055,Auto Repair and Salvage,North American Datum of 1983,The geographic coordinate determination method based on interpolation-photo.,20,Center of a facility or station,24000,Risks Present and Require Action in Long-term,Lead,YES,2025-12-01T00:00:00Z,"Wojciechowski, Kevin",512945.98860000074,375630.87690000236,8
"1047 Michigan Avenue, Baldwin (Baldwin Dollar General)",1047 Michigan Avenue,Baldwin,49304,Lake,43.89880179,-85.85211849,43000058,Auto Repair and Salvage,North American Datum of 1983,The geographic coordinate determination method based on interpolation-photo.,20,Center of a facility or station,24000,Risks Controlled-Interim,"Chlorinated Volatile and Semi Volatile Organic Compounds, Petroleum Volatile and Semi Volatile Organic Compounds",YES,2023-10-20T00:00:00Z,"Wojciechowski, Kevin",511723.1485000029,371946.21169999987,9
